date,action,price,shares,gross_amount,commission,stamp_tax,net_amount,pnl,return_pct,cash_after
2024-05-23,BUY,3.7,18800,69560.0,20.87,0.0,-69580.87,,,171.21
2024-06-04,SELL,3.51,18800,65988.0,19.8,65.99,65902.22,-3678.65,-5.29,66073.42
2024-06-18,BUY,3.47,19000,65930.0,19.78,0.0,-65949.78,,,123.65
2024-06-24,SELL,3.38,19000,64220.0,19.27,64.22,64136.51,-1813.26,-2.75,64260.16
2024-07-22,BUY,3.09,20700,63963.0,19.19,0.0,-63982.19,,,277.97
2024-07-24,SELL,3.03,20700,62721.0,18.82,62.72,62639.46,-1342.73,-2.1,62917.43
2024-08-02,BUY,3.14,20000,62800.0,18.84,0.0,-62818.84,,,98.59
2024-08-15,SELL,3.12,20000,62400.0,18.72,62.4,62318.88,-499.96,-0.8,62417.47
2024-09-03,BUY,3.06,20300,62118.0,18.64,0.0,-62136.64,,,280.84
2024-09-09,SELL,3.01,20300,61103.0,18.33,61.1,61023.57,-1113.07,-1.79,61304.4
2024-09-18,BUY,3.02,20200,61004.0,18.3,0.0,-61022.3,,,282.1
2024-10-21,SELL,3.59,20200,72518.0,21.76,72.52,72423.73,11401.43,18.68,72705.83
2024-10-25,BUY,3.88,18700,72556.0,21.77,0.0,-72577.77,,,128.06
2024-11-21,SELL,4.82,18700,90134.0,27.04,90.13,90016.83,17439.06,24.03,90144.89
2024-12-06,BUY,4.6,19500,89700.0,26.91,0.0,-89726.91,,,417.98
2024-12-17,SELL,4.52,19500,88140.0,26.44,88.14,88025.42,-1701.49,-1.9,88443.4
2024-12-31,BUY,4.29,20600,88374.0,26.51,0.0,-88400.51,,,42.88
2025-01-06,SELL,3.9,20600,80340.0,24.1,80.34,80235.56,-8164.95,-9.24,80278.44
2025-01-21,BUY,3.89,20600,80134.0,24.04,0.0,-80158.04,,,120.4
2025-01-27,SELL,3.8,20600,78280.0,23.48,78.28,78178.24,-1979.8,-2.47,78298.64
2025-02-11,BUY,3.94,19800,78012.0,23.4,0.0,-78035.4,,,263.23
2025-02-19,SELL,3.76,19800,74448.0,22.33,74.45,74351.22,-3684.19,-4.72,74614.45
2025-03-11,BUY,3.88,19200,74496.0,22.35,0.0,-74518.35,,,96.1
2025-04-02,SELL,4.08,19200,78336.0,23.5,78.34,78234.16,3715.81,4.99,78330.27
2025-04-18,BUY,3.78,20700,78246.0,23.47,0.0,-78269.47,,,60.79
2025-04-25,SELL,3.8,20700,78660.0,23.6,78.66,78557.74,288.27,0.37,78618.54
2025-04-28,BUY,3.85,20400,78540.0,23.56,0.0,-78563.56,,,54.97
2025-05-06,SELL,3.62,20400,73848.0,22.15,73.85,73752.0,-4811.56,-6.12,73806.97
2025-05-15,BUY,3.73,19700,73481.0,22.04,0.0,-73503.04,,,303.93
2025-05-29,SELL,3.78,19700,74466.0,22.34,74.47,74369.19,866.15,1.18,74673.12
2025-06-06,BUY,3.83,19400,74302.0,22.29,0.0,-74324.29,,,348.83
2025-06-23,SELL,3.81,19400,73914.0,22.17,73.91,73817.91,-506.38,-0.68,74166.74
2025-06-30,BUY,3.97,18600,73842.0,22.15,0.0,-73864.15,,,302.59
2025-07-22,SELL,4.17,18600,77562.0,23.27,77.56,77461.17,3597.02,4.87,77763.76
2025-07-24,BUY,4.29,18100,77649.0,23.29,0.0,-77672.29,,,91.46
2025-08-04,SELL,4.09,18100,74029.0,22.21,74.03,73932.76,-3739.53,-4.81,74024.23
2025-08-12,BUY,4.19,17600,73744.0,22.12,0.0,-73766.12,,,258.1
2025-08-15,SELL,4.04,17600,71104.0,21.33,71.1,71011.56,-2754.56,-3.73,71269.67
2025-08-26,BUY,4.17,17000,70890.0,21.27,0.0,-70911.27,,,358.4
2025-09-02,SELL,4.06,17000,69020.0,20.71,69.02,68930.27,-1980.99,-2.79,69288.67
2025-09-12,BUY,4.05,17100,69255.0,20.78,0.0,-69275.78,,,12.9
2025-10-10,SELL,4.17,17100,71307.0,21.39,71.31,71214.3,1938.52,2.8,71227.2
2025-10-13,BUY,4.17,17000,70890.0,21.27,0.0,-70911.27,,,315.93
2025-11-05,SELL,5.45,17000,92650.0,27.8,92.65,92529.56,21618.29,30.49,92845.49
2025-11-12,BUY,5.25,17600,92400.0,27.72,0.0,-92427.72,,,417.77
2025-11-14,SELL,5.27,17600,92752.0,27.83,92.75,92631.42,203.7,0.22,93049.19
2025-12-04,BUY,4.74,19600,92904.0,27.87,0.0,-92931.87,,,117.32
2025-12-11,SELL,4.39,19600,86044.0,25.81,86.04,85932.14,-6999.73,-7.53,86049.46
2025-12-30,BUY,4.25,20200,85850.0,25.76,0.0,-85875.76,,,173.71
2025-12-31,SELL,4.21,20200,85042.0,25.51,85.04,84931.45,-944.31,-1.1,85105.15
2026-01-08,BUY,4.6,18400,84640.0,25.39,0.0,-84665.39,,,439.76
2026-01-20,SELL,4.51,18400,82984.0,24.9,82.98,82876.12,-1789.27,-2.11,83315.88
2026-01-22,BUY,4.48,18500,82880.0,24.86,0.0,-82904.86,,,411.02
2026-01-28,SELL,4.27,18500,78995.0,23.7,78.99,78892.31,-4012.56,-4.84,79303.32
2026-02-11,BUY,4.36,18100,78916.0,23.67,0.0,-78939.67,,,363.65
2026-02-12,SELL,4.38,18100,79278.0,23.78,79.28,79174.94,235.26,0.3,79538.59
2026-02-24,BUY,4.33,18300,79239.0,23.77,0.0,-79262.77,,,275.81
2026-02-25,SELL,4.46,18300,81618.0,24.49,81.62,81511.9,2249.12,2.84,81787.71
2026-02-27,BUY,4.56,17900,81624.0,24.49,0.0,-81648.49,,,139.22
2026-03-12,SELL,4.71,17900,84309.0,25.29,84.31,84199.4,2550.91,3.12,84338.62
2026-03-13,BUY,5.65,14900,84185.0,25.26,0.0,-84210.26,,,128.37
