file_name,code,start_date,end_date,initial_cash,final_equity,total_return_pct,trade_count,win_rate_pct,avg_pnl,avg_return_pct,max_drawdown_pct
sz.002516.csv,sz.002516,2020-01-02,2026-03-16,100000.0,126379.21,26.38,82,43.9,321.7,0.51,-35.37
sz.300932.csv,sz.300932,2021-02-18,2026-03-16,100000.0,126361.06,26.36,68,38.24,419.96,0.62,-40.05
sz.301389.csv,sz.301389,2022-10-31,2026-03-16,100000.0,126277.72,26.28,48,37.5,547.45,1.22,-54.86
sz.300585.csv,sz.300585,2021-02-18,2026-03-16,100000.0,126252.0,26.25,68,30.88,371.16,1.04,-53.09
sh.603089.csv,sh.603089,2020-01-02,2026-03-16,100000.0,126231.44,26.23,76,38.16,359.55,0.76,-54.63
sh.603248.csv,sh.603248,2025-12-23,2026-03-16,100000.0,125975.91,25.98,2,100.0,402.78,0.41,-11.25
sz.301165.csv,sz.301165,2022-11-21,2026-03-16,100000.0,125910.66,25.91,41,41.46,833.38,1.5,-60.61
sz.300815.csv,sz.300815,2021-02-18,2026-03-16,100000.0,125905.41,25.91,67,40.3,386.65,0.64,-45.36
sh.600821.csv,sh.600821,2020-01-02,2026-03-16,100000.0,125856.29,25.86,86,37.21,-265.75,-0.06,-58.26
sz.002858.csv,sz.002858,2020-01-02,2026-03-16,100000.0,125837.19,25.84,80,46.25,269.79,0.62,-55.98
sh.600369.csv,sh.600369,2020-01-02,2026-03-16,100000.0,125825.79,25.83,75,33.33,344.34,0.47,-33.05
sz.300750.csv,sz.300750,2021-02-18,2026-03-16,100000.0,125761.37,25.76,69,37.68,248.54,0.57,-51.09
sz.002039.csv,sz.002039,2020-01-02,2026-03-16,100000.0,125699.51,25.7,86,34.88,231.47,0.45,-39.71
sh.601628.csv,sh.601628,2020-01-02,2026-03-16,100000.0,125656.48,25.66,79,36.71,324.77,0.47,-42.63
sh.603733.csv,sh.603733,2020-01-02,2026-03-16,100000.0,125648.59,25.65,76,39.47,337.48,0.6,-39.37
sz.300283.csv,sz.300283,2020-01-02,2026-03-16,100000.0,125632.38,25.63,75,37.33,398.28,0.72,-59.86
sh.600587.csv,sh.600587,2020-01-02,2026-03-16,100000.0,125596.1,25.6,83,36.14,292.24,0.69,-44.97
sz.301498.csv,sz.301498,2023-08-16,2026-03-16,100000.0,125586.65,25.59,34,26.47,752.55,1.08,-36.51
sh.600236.csv,sh.600236,2020-01-02,2026-03-16,100000.0,125551.22,25.55,85,38.82,300.6,0.4,-39.06
sz.002875.csv,sz.002875,2020-01-02,2026-03-16,100000.0,125554.42,25.55,81,34.57,380.34,1.62,-60.57
sz.000561.csv,sz.000561,2020-01-02,2026-03-16,100000.0,125525.72,25.53,84,36.9,303.88,0.62,-40.15
sz.001283.csv,sz.001283,2022-09-05,2026-03-16,100000.0,125436.13,25.44,41,46.34,605.99,0.88,-35.31
sz.300039.csv,sz.300039,2020-01-02,2026-03-16,100000.0,125414.53,25.41,85,36.47,322.62,0.57,-56.83
sz.300369.csv,sz.300369,2020-01-02,2026-03-16,100000.0,125369.88,25.37,77,42.86,459.3,0.83,-53.47
sz.301518.csv,sz.301518,2023-08-03,2026-03-16,100000.0,125317.43,25.32,32,40.62,968.26,1.14,-35.19
sh.688757.csv,sh.688757,2025-03-25,2026-03-16,100000.0,125310.32,25.31,11,36.36,2300.94,2.51,-24.18
sz.300008.csv,sz.300008,2020-01-02,2026-03-16,100000.0,125261.87,25.26,85,31.76,297.2,0.93,-68.77
sz.300842.csv,sz.300842,2021-02-18,2026-03-16,100000.0,125245.23,25.25,63,39.68,400.72,1.4,-64.29
sz.000668.csv,sz.000668,2020-01-02,2026-03-16,100000.0,125220.44,25.22,82,35.37,307.57,0.64,-61.85
sz.000333.csv,sz.000333,2020-01-02,2026-03-16,100000.0,125145.06,25.15,81,40.74,308.52,0.45,-50.02
sz.002728.csv,sz.002728,2020-01-02,2026-03-16,100000.0,125120.97,25.12,84,38.1,299.06,1.22,-71.01
sz.300731.csv,sz.300731,2021-02-18,2026-03-16,100000.0,125073.41,25.07,70,38.57,358.19,1.01,-69.62
sh.603595.csv,sh.603595,2020-01-02,2026-03-16,100000.0,125048.83,25.05,74,31.08,342.95,1.12,-66.12
sz.301335.csv,sz.301335,2022-11-18,2026-03-16,100000.0,125015.97,25.02,51,31.37,493.95,0.91,-35.23
sh.688319.csv,sh.688319,2021-06-08,2026-03-16,100000.0,124926.6,24.93,61,36.07,138.47,0.38,-47.68
sh.600436.csv,sh.600436,2020-01-02,2026-03-16,100000.0,124914.65,24.91,75,44.0,332.2,0.67,-49.49
sz.301629.csv,sz.301629,2025-03-24,2026-03-16,100000.0,124871.13,24.87,12,33.33,2072.59,2.41,-32.91
sh.600282.csv,sh.600282,2020-01-02,2026-03-16,100000.0,124836.12,24.84,88,35.23,282.23,0.4,-41.22
sz.002682.csv,sz.002682,2020-01-02,2026-03-16,100000.0,124820.02,24.82,84,35.71,295.48,0.82,-66.95
sh.688670.csv,sh.688670,2021-08-02,2026-03-16,100000.0,124721.64,24.72,59,45.76,415.16,0.64,-44.16
sh.605178.csv,sh.605178,2020-08-21,2026-03-16,100000.0,124724.74,24.72,72,36.11,343.4,1.44,-68.88
sz.002037.csv,sz.002037,2020-01-02,2026-03-16,100000.0,124651.31,24.65,81,30.86,334.82,0.76,-66.87
sz.002738.csv,sz.002738,2020-01-02,2026-03-16,100000.0,124588.67,24.59,86,40.7,285.91,0.72,-50.33
sz.300795.csv,sz.300795,2021-02-18,2026-03-16,100000.0,124575.23,24.58,64,39.06,383.99,0.83,-46.53
sz.002066.csv,sz.002066,2020-01-02,2026-03-16,100000.0,124558.02,24.56,78,41.03,314.85,0.54,-58.7
sz.300821.csv,sz.300821,2021-02-18,2026-03-16,100000.0,124562.4,24.56,73,32.88,336.47,0.96,-65.21
sz.002675.csv,sz.002675,2020-01-02,2026-03-16,100000.0,124484.81,24.48,73,36.99,351.21,0.66,-50.43
sz.301159.csv,sz.301159,2022-01-07,2026-03-16,100000.0,124467.58,24.47,59,42.37,468.23,0.89,-40.18
sh.688300.csv,sh.688300,2020-01-02,2026-03-16,100000.0,124438.57,24.44,83,42.17,-182.82,0.21,-52.95
sh.600721.csv,sh.600721,2020-01-02,2026-03-16,100000.0,124390.5,24.39,78,34.62,286.09,0.62,-45.83
